Date,Ticker,MKTTREND,SMA,MACD,BOL,RSI,OBV,MYTREND1,MYTREND2,MYTREND3
2021-07-01,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-07-02,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-07-06,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-07-07,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-07-08,ABT,UP,BUY,BUY,HOLD,SELL,BUY,HOLD,SELL,BUY
2021-07-09,ABT,UP,BUY,BUY,HOLD,SELL,BUY,HOLD,SELL,BUY
2021-07-12,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-13,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-14,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-15,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-16,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-19,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-20,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-21,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-22,ABT,UP,SELL,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-23,ABT,UP,SELL,BUY,HOLD,SELL,BUY,HOLD,SELL,BUY
2021-07-26,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-27,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-28,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-29,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-07-30,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-02,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-03,ABT,UP,SELL,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-08-04,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-05,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-06,ABT,UP,SELL,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-09,ABT,UP,BUY,BUY,HOLD,SELL,BUY,HOLD,SELL,BUY
2021-08-10,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-11,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
