Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,35692.62109375,35787.0390625,35629.37109375,35741.1484375,35741.1484375,267220000
2021-10-26,35791.05078125,35892.921875,35734.73046875,35756.87890625,35756.87890625,321910000
2021-10-27,35835.4296875,35835.4296875,35490.4296875,35490.69140625,35490.69140625,354180000
2021-10-28,35545.41015625,35742.25,35545.41015625,35730.48046875,35730.48046875,337400000
2021-10-29,35712.28125,35852.53125,35633.19921875,35819.55859375,35819.55859375,399400000
2021-11-01,35833.6484375,36009.73828125,35797.96875,35913.83984375,35913.83984375,292880000
2021-11-02,35935.109375,36088.80859375,35884.12890625,36052.62890625,36052.62890625,304510000
2021-11-03,36059.08984375,36178.51171875,35891.73046875,36157.578125,36157.578125,262540000
2021-11-04,36107.4609375,36168.03125,35986.48046875,36124.23046875,36124.23046875,307640000
2021-11-05,36268.75,36484.75,36190.19921875,36327.94921875,36327.94921875,344600000
2021-11-08,36416.4609375,36565.73046875,36334.421875,36432.21875,36432.21875,284400000
2021-11-09,36404.53125,36416.98046875,36173.0703125,36319.98046875,36319.98046875,258020000
2021-11-10,36299.25,36346.609375,36009.5,36079.94140625,36079.94140625,278390000
2021-11-11,36038.78125,36108.171875,35915.26953125,35921.23046875,35921.23046875,270320000
2021-11-12,35963.78125,36147.62890625,35934.58984375,36100.30859375,36100.30859375,293180000
2021-11-15,36128.828125,36236.0703125,36031.78125,36087.44921875,36087.44921875,280660000
2021-11-16,36076.1796875,36316.609375,36076.1796875,36142.21875,36142.21875,308290000
2021-11-17,36159.69921875,36159.69921875,35909.48046875,35931.05078125,35931.05078125,358310000
2021-11-18,35901.69140625,35952.62890625,35654.390625,35870.94921875,35870.94921875,435080000
2021-11-19,35879.08984375,35879.08984375,35555.37109375,35601.98046875,35601.98046875,408840000
2021-11-22,35631.41015625,35929.66015625,35615.55078125,35619.25,35619.25,420810000
2021-11-23,35619.921875,35841.51953125,35542.87109375,35813.80078125,35813.80078125,392520000
2021-11-24,35752.30859375,35825.46875,35591.03125,35804.37890625,35804.37890625,280960000
2021-11-26,35366.69140625,35366.69140625,34749.80078125,34899.33984375,34899.33984375,324580000
2021-11-29,35017.7109375,35287.91015625,34895.890625,35135.94140625,35135.94140625,416040000
2021-11-30,35056.98828125,35056.98828125,34424.44140625,34483.71875,34483.71875,678800000
2021-12-01,34678.94140625,35004.640625,34006.98046875,34022.0390625,34022.0390625,496000000
2021-12-02,34076.25,34759.6484375,34076.25,34639.7890625,34639.7890625,466900000
2021-12-03,34692.78125,34801.30859375,34264.5703125,34580.078125,34580.078125,439550000
2021-12-06,34633.4296875,35356.75,34633.4296875,35227.03125,35227.03125,416720000
2021-12-07,35423.98828125,35819.46875,35423.98828125,35719.4296875,35719.4296875,474940000
2021-12-08,35716.8515625,35840.51953125,35602.6484375,35754.75,35754.75,387650000
2021-12-09,35722.26171875,35864.23828125,35577.140625,35754.69140625,35754.69140625,353020000
2021-12-10,35830.55078125,35982.69140625,35710.4296875,35970.98828125,35970.98828125,361200000
2021-12-13,35958.9296875,35958.9296875,35609.53125,35650.94921875,35650.94921875,441110000
2021-12-14,35605.73046875,35779.46875,35441.73828125,35544.1796875,35544.1796875,440900000
2021-12-15,35549.3515625,35943.83984375,35389.30078125,35927.4296875,35927.4296875,424720000
2021-12-16,36036.28125,36189.828125,35778.2109375,35897.640625,35897.640625,473620000
2021-12-17,35800.109375,35800.109375,35284.26171875,35365.44140625,35365.44140625,750480000
2021-12-20,35222.12109375,35222.12109375,34665.5,34932.16015625,34932.16015625,386590000
2021-12-21,35069.5,35508.9609375,35069.5,35492.69921875,35492.69921875,346080000
2021-12-22,35491.7109375,35764.671875,35433.12890625,35753.890625,35753.890625,281930000
2021-12-23,35782.421875,36060.98828125,35782.421875,35950.55859375,35950.55859375,247420000
